word,best_response,shown,meaning,,,
OBLIVION,The state of being unaware of what is happening around one,FALSE,A forgotten hero can fade into oblivion.,,,
ORACLE,A priest or priestess acting as a medium through whom advice was sought from the gods,FALSE,I do not believe in oracles; I believe in hard work.,,,
AMBIGUITY,The quality of being open to more than one interpretation; inexactness,FALSE,I seek clarity in situations of ambiguity.,,,
PREFER,To like one thing or person better than another,FALSE,I prefer to work in a team rather than alone.,,,
ALLEGIANCE,Loyalty or commitment to a superior or to a group or cause,FALSE,My allegiance is to my country and its constitution.,,,
SORT,A category of things having some common attribute,FALSE,I sort out issues through discussion and consensus.,,,
ZENITH,The time at which something is most powerful or successful,FALSE,I want to reach the zenith of my career.,,,
PREVARICATE,To speak or act in an evasive way,FALSE,I will not prevaricate when asked a direct question.,,,
PLAGIARIZE,To take the work or an idea of someone else and pass it off as one's own,FALSE,I will never plagiarize someone else's work.,,,
IMMENSE,Extremely large or great especially in scale or degree,FALSE,I have immense respect for my parents and teachers.,,,
CONFORM,To comply with rules standards or laws,FALSE,I conform to the rules and customs of the service.,,,
PERTURB,To make someone anxious or unsettled,FALSE,I do not let setbacks perturb me.,,,
INFINITE,Limitless or endless in space extent or size,FALSE,There are infinite possibilities if you have the will.,,,
STAND,To have or maintain an upright position supported by one's feet,FALSE,I stand by my decisions once I have made them.,,,
REDOLENT,Strongly reminiscent or suggestive of something,FALSE,The air was redolent with the smell of jasmine.,,,
RESILIENT,Able to withstand or recover quickly from difficult conditions,FALSE,I am resilient and can bounce back from any setback.,,,
MURKY,Dark and gloomy especially due to thick mist,FALSE,I can find clarity in a murky situation.,,,
REQUIRE,To need for a particular purpose,FALSE,I acquire the skills required for the job.,,,
PERFUNCTORY,Carried out with a minimum of effort or reflection,FALSE,I do not do my work in a perfunctory manner.,,,
STENTORIAN,Loud and powerful in voice,FALSE,He had a stentorian voice that could be heard from a distance.,,,
WITTY,Showing or characterized by quick and inventive verbal humor,FALSE,My witty sense of humor helps in lightening up tense situations.,,,
LUCK,Success or failure apparently brought by chance,FALSE,I believe that dedicated hard work is the mother of good luck.,,,
WINNOW,To blow a current of air through grain in order to remove the chaff,FALSE,We must winnow the facts from the fiction.,,,
VERITY,A true principle or belief especially one of fundamental importance,FALSE,The verity of his claim was established by the evidence.,,,
EXTRICATE,To free someone or something from a constraint or difficulty,FALSE,I can extricate my team from a difficult situation.,,,
WANTON,Deliberate and unprovoked,FALSE,The wanton destruction of property by the mob was condemnable.,,,
DUTY,A moral or legal obligation; a responsibility,FALSE,I perform my duties with utmost sincerity and dedication.,,,
WISTFUL,Having or showing a feeling of vague or regretful longing,FALSE,I felt a wistful longing for my childhood days.,,,
MUST,To be obliged to; should,FALSE,I must complete my mission successfully at all costs.,,,
PICK,To choose from a number of alternatives,FALSE,I pick my battles wisely.,,,
VAGARY,An unexpected and inexplicable change in a situation,FALSE,I am not a victim of the vagaries of fortune.,,,
PEACE,Freedom from disturbance; tranquility,FALSE,The armed forces work tirelessly to maintain peace and security.,,,
MOROSE,Sullen and ill-tempered,FALSE,I do not have a morose and gloomy personality.,,,
VULGAR,Lacking sophistication or good taste; unrefined,FALSE,I do not use vulgar language.,,,
ESCALATE,To increase rapidly in intensity; make more serious,FALSE,I do not let a small conflict escalate into a big one.,,,
INFRINGE,To actively break the terms of a law or agreement,FALSE,I will not infringe on the rights of others.,,,
CONTINUE,To persist in an activity or process,FALSE,I continue to work hard even when faced with obstacles.,,,
TENDENTIOUS,Expressing or intending to promote a particular cause or point of view,FALSE,The newspaper article was tendentious and biased.,,,
FALL,To move downwards rapidly and freely under gravity,FALSE,I get up stronger every time I fall.,,,
INTELLECT,The faculty of reasoning and understanding objectively,FALSE,I use my intellect to solve complex problems.,,,
SUBSIST,To maintain or support oneself especially at a minimal level,FALSE,I can subsist on a simple diet.,,,
FORTITUDE,Courage in pain or adversity,FALSE,Mental fortitude is the greatest weapon of a soldier.,,,
TANTALIZE,To torment or tease someone with the sight of something that is unobtainable,FALSE,Do not tantalize the hungry dog with a piece of meat.,,,
ALERT,Quick to notice any unusual circumstances; vigilant,FALSE,I always remain alert and vigilant while performing my duty.,,,
MAGNITUDE,The great size or extent of something,FALSE,I understand the magnitude of the responsibility I will have.,,,
PERUSE,To read something typically in a thorough or careful way,FALSE,I will peruse the document carefully before signing.,,,
MORBID,Characterized by an abnormal and unhealthy interest in disturbing subjects,FALSE,I do not have a morbid fascination with death.,,,
KUDOS,Praise and honor received for an achievement,FALSE,I give kudos to my team for a job well done.,,,
WORRY,To feel anxious or troubled about actual or potential problems,FALSE,I replace all my worry with action and strategic planning.,,,
RETRENCH,To reduce costs or spending in response to economic difficulty,FALSE,The company had to retrench some of its employees.,,,
ENSURE,To make certain that something will occur or be the case,FALSE,I ensure that the task is completed as per the plan.,,,
SUNDRY,Of various kinds; several,FALSE,I have sundry interests and hobbies.,,,
YEN,A strong desire or craving,FALSE,I have a yen for Chinese food.,,,
IMPERATIVE,Of vital importance; crucial,FALSE,It is imperative for a soldier to be physically fit.,,,
ADAPT,To become adjusted to new conditions,FALSE,I can adapt quickly to changing circumstances and environments.,,,
SOPHOMORIC,Pretentious or juvenile,FALSE,His jokes were sophomoric and immature.,,,
FORBID,To refuse to allow something; to ban,FALSE,I forbid any unethical practice in my team.,,,
REVERT,To return to a previous state practice or topic,FALSE,I will revert to you with my answer soon.,,,
DISCLOSE,To make secret or new information known,FALSE,I will not disclose any secret information.,,,
ORDEAL,A painful or horrific experience,FALSE,I am ready to face any ordeal for my country.,,,
MISTAKE,An action or judgement that is misguided or wrong,FALSE,I analyze my mistakes to improve my future performance.,,,
INCONGRUOUS,Not in harmony or keeping with the surroundings or other aspects of something,FALSE,My actions are never incongruous with my words.,,,
UTOPIAN,Modeled on or aiming for a state in which everything is perfect; idealistic,FALSE,His idea of a perfect world is utopian and impractical.,,,
PARADOX,A seemingly absurd or self-contradictory statement that when investigated may prove to be true,FALSE,It is a paradox that we have to fight a war for peace.,,,
EFFECTIVE,Successful in producing a desired or intended result,FALSE,I strive to be effective and efficient in all that I do.,,,
PLENITUDE,An abundance,FALSE,I am grateful for the plenitude of opportunities I have.,,,
TOUT,To attempt to sell something typically by pestering people in an aggressive manner,FALSE,The travel agent touted the new holiday package.,,,
TOLD,Past tense of tell,FALSE,I do what I am told by my superiors.,,,
FILE,A folder or box for holding loose papers,FALSE,I maintain a file of important documents and information.,,,
VAINGLORIOUS,Excessively proud of oneself or one's achievements,FALSE,A vainglorious person is always boasting about his achievements.,,,
SINGULAR,Remarkably good or great; exceptional,FALSE,He has a singular devotion to his duty.,,,
MEDIATE,To intervene between people in a dispute in order to bring about an agreement,FALSE,I can mediate a dispute and bring about a compromise.,,,
VACILLATE,To alternate or waver between different opinions or actions,FALSE,I do not vacillate between options; I make a firm decision.,,,
CARE,The provision of what is necessary for health and welfare,FALSE,I care deeply for the welfare of the men I will command.,,,
COHESION,The action or fact of forming a united whole,FALSE,Team cohesion is vital for operational success.,,,
TRENCHANT,Vigorous or incisive in expression or style,FALSE,He is known for his trenchant and witty remarks.,,,
AMBITION,A strong desire to do or achieve something,FALSE,My ambition is to serve my country with honor and pride.,,,
PROBLEM,A matter or situation regarded as unwelcome or harmful,FALSE,I see every problem as an opportunity to find a solution.,,,
DETERMINED,Having made a firm decision and being resolved not to change it,FALSE,I am determined to succeed against all odds.,,,
MANIFEST,Clear or obvious to the eye or mind,FALSE,My actions manifest my intentions.,,,
QUARREL,A heated argument or disagreement,FALSE,I resolve quarrels through calm discussion.,,,
VENOMOUS,Secreting venom; capable of injecting venom,FALSE,The snake was venomous and deadly.,,,
SUBPOENA,A writ ordering a person to attend a court,FALSE,The witness was served a subpoena to appear in the court.,,,
HAZARDOUS,Risky; dangerous,FALSE,I am trained to operate in hazardous environments.,,,
RUN,To move at a speed faster than a walk,FALSE,I run every morning to maintain my physical and mental fitness.,,,
WRITE,To mark coherent words on a surface with a pen or pencil,FALSE,I write down my thoughts and plans to get more clarity.,,,
LIMPID,Completely clear and transparent,FALSE,My thoughts are limpid and my intentions are clear.,,,
PILLORY,To attack or ridicule publicly,FALSE,A corrupt official should be pilloried in public.,,,
BETRAYAL,The action of betraying one's country or a person; treachery,FALSE,Betrayal of trust is the worst form of misconduct.,,,
SECTARIAN,Denoting or concerning a sect or sects,FALSE,Sectarian violence is a threat to our national unity.,,,
VIGOR,Physical strength and good health,FALSE,I perform my tasks with vigor and enthusiasm.,,,
LINGER,To stay in a place longer than necessary,FALSE,I do not let my past failures linger in my mind.,,,
PREROGATIVE,A right or privilege exclusive to a particular individual or class,FALSE,It is the prerogative of the commanding officer to take the final decision.,,,
DISGUISE,To give someone or oneself a different appearance to conceal identity,FALSE,A good soldier can disguise himself in the terrain.,,,
GREW,Past tense of grow; to undergo natural development,FALSE,I grew up listening to the stories of our war heroes.,,,
DEVIATE,To depart from an established course,FALSE,I never deviate from the path of righteousness.,,,
EMBED,To fix an object firmly and deeply in a surrounding mass,FALSE,The values of the army are embedded in my heart.,,,
VERBATIM,In exactly the same words as were used originally,FALSE,I can repeat his speech verbatim.,,,
LEAVE,To go away from,FALSE,I leave no stone unturned in my preparation.,,,
EMBARK,To go on board a ship or aircraft; to begin a course of action,FALSE,I am ready to embark on a new journey in my life.,,,
UMBRAGE,Offense or annoyance,FALSE,He took umbrage at my sarcastic remark.,,,
PATIENT,Able to accept or tolerate delays problems or suffering,FALSE,I am patient and can wait for the right moment to act.,,,
DOUBT,A feeling of uncertainty or lack of conviction,FALSE,I remove doubts by seeking clarification and gaining knowledge.,,,
ENUMERATE,To mention a number of things one by one,FALSE,I can enumerate the many reasons why I want to join the forces.,,,
TANGIBLE,Perceptible by touch,FALSE,I want to see some tangible results of my hard work.,,,
VERTEX,The highest point; the top or apex,FALSE,I want to reach the vertex of my career.,,,
CORRELATE,To have a mutual relationship or connection,FALSE,I can correlate different pieces of information to form a picture.,,,
NEED,Require something because it is essential or very important,FALSE,I identify the needs of my team and fulfill them.,,,
TURBID,Cloudy opaque or thick with suspended matter,FALSE,The water of the river was turbid and muddy.,,,
TACTILE,Of or connected with the sense of touch,FALSE,The blind person had a very sensitive tactile sense.,,,
FAIL,To be unsuccessful in achieving one's goal,FALSE,I learn from my failures and avoid repeating my mistakes.,,,
SYSTEM,A set of principles or procedures according to which something is done,FALSE,I can work effectively within any given system.,,,
UNSTINTING,Given or giving without restraint; unsparing,FALSE,I am grateful for the unstinting support of my parents.,,,
INFALLIBLE,Incapable of making mistakes or being wrong,FALSE,No one is infallible; everyone makes mistakes.,,,
VERITABLE,Used as an intensifier often to qualify a metaphor,FALSE,He is a veritable giant in his field.,,,
SUFFRAGE,The right to vote in political elections,FALSE,The universal adult suffrage is a great feature of our democracy.,,,
PATRIARCH,The male head of a family or tribe,FALSE,The patriarch of the family is a respected figure.,,,
VALIANT,Possessing or showing courage or determination,FALSE,I want to be a valiant soldier of my country.,,,
TROUBLE,Difficulty or problems,FALSE,I face trouble with courage and presence of mind.,,,
PREMONITION,A strong feeling that something is about to happen especially something unpleasant,FALSE,I had a premonition that something good was about to happen.,,,
EXTREME,Reaching a high or the highest degree; very great,FALSE,I am mentally prepared for extreme weather conditions.,,,
DEPLOY,To move troops into position for military action,FALSE,I am ready to be deployed anywhere in the service of the nation.,,,
SIX,Equivalent to the sum of three and three,FALSE,My sixth sense often helps me in tricky situations.,,,
SWATH,A broad strip or area of something,FALSE,The cyclone cut a swath of destruction through the coastal areas.,,,
JEALOUSY,The state or feeling of being envious,FALSE,I feel happy for others' success and am not jealous.,,,
DISTINGUISH,To recognize or treat someone or something as different,FALSE,I can distinguish between a friend and a foe.,,,
TRUTH,The quality or state of being true,FALSE,I will always uphold the truth even when it is difficult.,,,
CONTEMPLATE,To look thoughtfully for a long time at,FALSE,I contemplate on my past actions for future improvement.,,,
PRESAGE,A sign or warning that something bad will happen,FALSE,The eerie silence presaged the impending danger.,,,
RESIDUAL,Remaining after the greater part or quantity has gone,FALSE,There was some residual tension in the air.,,,
INDEFATIGABLE,Persisting tirelessly,FALSE,I am an indefatigable worker.,,,
AIM,A purpose or intention; a desired outcome,FALSE,I have a clear aim to join the armed forces as an officer.,,,
STRICTURE,A restriction on a person or activity,FALSE,The court passed a stricture against the erring official.,,,
REPUDIATE,To refuse to accept or be associated with; deny the truth of,FALSE,I repudiate all charges of corruption against me.,,,
STAMINA,The ability to sustain prolonged physical or mental effort,FALSE,I have built up my physical stamina through regular exercise.,,,
SPORADIC,Occurring at irregular intervals or only in a few places; scattered,FALSE,There were sporadic incidents of violence in the city.,,,
RAVAGE,To cause severe and extensive damage to,FALSE,The floods ravaged the entire village.,,,
BAD,Of poor quality; not good,FALSE,I turn bad situations into learning opportunities.,,,
KEEP,To have or retain possession of,FALSE,I keep my body and mind fit for military life.,,,
FELLOW,A person in the same position or involved in the same activity,FALSE,I treat all my fellow beings with respect and dignity.,,,
EVADE,To escape or avoid especially by cleverness,FALSE,I do not evade my responsibilities.,,,
DEFAULT,Failure to fulfill an obligation,FALSE,I never default on my responsibilities.,,,
PREEMPT,To take action in order to prevent an anticipated event from happening,FALSE,I can preempt the enemy's move with my intelligence.,,,
DOMINATE,To have a commanding influence on; exercise control over,FALSE,I dominate the battlefield with my tactical acumen.,,,
GRAVITY,Extreme or alarming importance; seriousness,FALSE,I understand the gravity of the situation and act accordingly.,,,
IRRELEVANT,Not connected with or relevant to something,FALSE,I do not waste time on irrelevant details.,,,
MERITORIOUS,Deserving reward or praise,FALSE,I want to have a meritorious service record.,,,
POST,A long sturdy piece of timber or metal set upright,FALSE,I will guard my post with my life.,,,
WHIMSICAL,Playfully quaint or fanciful especially in an appealing way,FALSE,She had a whimsical and fanciful nature.,,,
OBSOLETE,No longer produced or used; out of date,FALSE,I keep myself updated and do not become obsolete.,,,
RETICENT,Not revealing one's thoughts or feelings readily,FALSE,I am not reticent; I speak my mind freely.,,,
OBJECTIVE,Not influenced by personal feelings or opinions in considering facts,FALSE,I remain objective and unbiased in my assessments.,,,
THERAPEUTIC,Relating to the healing of disease,FALSE,Music has a therapeutic effect on my mind.,,,
WORK,Activity involving mental or physical effort,FALSE,Consistent hard work is the key to achieving my goals.,,,
