word,best_response,shown,meaning,,,,
HOSTAGE,The commandos rescued the hostages safely,FALSE,A person seized or held as security for the fulfillment of a condition,,,,
JUMP,I am ready to jump into action whenever my team needs me,FALSE,To push oneself off a surface and into the air by using the muscles in one's legs and feet,,,,
PERPETUAL,He was a perpetual optimist and always cheerful,FALSE,Never ending or changing,,,,
RAPTURE,He was in a state of rapture after hearing the good news,FALSE,A feeling of intense pleasure or joy,,,,
VAGUE,I give clear and precise instructions not vague ones,FALSE,Of uncertain indefinite or unclear character or meaning,,,,
INDECISIVE,I am a decisive person and can make quick decisions,FALSE,Not able to make decisions quickly and effectively,,,,
FAIL,I am not afraid to fail as it is a part of learning,FALSE,To be unsuccessful in achieving one's goal,,,,
PRETEND,I am a genuine person and do not pretend to be someone I am not,FALSE,To speak and act so as to make it appear that something is the case when in fact it is not,,,,
EVIL,I always choose the path of good over evil,FALSE,Profoundly immoral and malevolent,,,,
WAIT,I believe in preparation while I wait for an opportunity,FALSE,To stay where one is or delay action until a particular time or until something else happens,,,,
PSYCHOPATH,He was a psychopath who had no feelings for others,FALSE,A person suffering from a chronic mental disorder,,,,
PROMISCUOUS,He led a promiscuous life and had many partners,FALSE,Having or characterized by many transient sexual relationships,,,,
LOAF,I do not loaf around; I use my time productively,FALSE,To spend one's time in an aimless,,,,
TANGIBLE,The tangible benefits of the project were many,FALSE,Perceptible by touch,,,,
RAVENOUS,The ravenous lion attacked the deer,FALSE,Extremely hungry,,,,
DESTITUTE,I work for the welfare of the destitute and the needy,FALSE,Without the basic necessities of life,,,,
SODDEN,His clothes were sodden with rain,FALSE,Saturated with liquid,,,,
PURPORT,The letter purports to be from the president,FALSE,To appear or claim to be or do something,,,,
PRELUDE,The musical prelude set the tone for the play,FALSE,An action or event serving as an introduction to something more important,,,,
INCURABLE,I believe that a positive attitude can cure an incurable disease,FALSE,Not able to be cured,,,,
DISARM,I can disarm an opponent with my wit and logic,FALSE,To take a weapon or weapons from a person force or country,,,,
STALK,The tiger was stalking its prey,FALSE,To pursue or approach stealthily,,,,
SPLICE,He spliced the two ropes together,FALSE,To join or connect by interweaving the strands,,,,
OBSERVE,I observe my seniors and learn from their experience,FALSE,To notice or perceive something and register it as being significant,,,,
DECREPIT,I maintain my equipment well to prevent it from becoming decrepit,FALSE,Worn out or ruined because of age or neglect,,,,
INTRINSIC,Honesty is an intrinsic quality of a good leader,FALSE,Belonging naturally; essential,,,,
CYNIC,I am an optimist not a cynic,FALSE,A person who believes that people are motivated purely by self-interest,,,,
REMORSE,I do the right thing to avoid any remorse later,FALSE,Deep regret or guilt for a wrong committed,,,,
FORGE,I can forge a strong team out of diverse individuals,FALSE,To make or shape a metal object by heating it in a fire or furnace and beating or hammering it,,,,
DISREPAIR,I maintain my equipment well to prevent it from falling into disrepair,FALSE,Poor condition of a building or structure due to neglect,,,,
QUACK,The quack was arrested for selling fake medicines,FALSE,A person who dishonestly claims to have special knowledge and skill,,,,
RANCOR,He spoke about his ex-wife with great rancor,FALSE,Bitterness or resentfulness,,,,
PLAY,I play sports to maintain my physical fitness and team spirit,FALSE,To engage in activity for enjoyment and recreation rather than a serious or practical purpose,,,,
HIJACK,The commandos foiled the hijack attempt successfully,FALSE,To illegally seize an aircraft vehicle or ship in transit and force it to go to a different destination or use it for one's own purposes,,,,
FIRE,I have a fire in my belly to achieve my goals,FALSE,Combustion or burning in which substances combine chemically with oxygen from the air and typically give out bright light heat and smoke,,,,
ACTIVE,I stay mentally and physically active to remain prepared,FALSE,Engaging or ready to engage in physically energetic pursuits,,,,
ACHE,I can endure physical ache for the success of the mission,FALSE,A continuous or prolonged dull pain in a part of one's body,,,,
MISPRINT,There was a misprint in the newspaper article,FALSE,An error in printed matter,,,,
UNBEARABLE,My training helps me endure what seems unbearable to others,FALSE,Not able to be endured or tolerated,,,,
UP,I always keep my spirits up even in difficult times,FALSE,Directed or moving toward a higher place or position,,,,
DISCREET,I can be discreet with sensitive information,FALSE,Careful and circumspect in one's speech or actions,,,,
STUCK,If I get stuck on a problem I look for a new perspective,FALSE,Unable to move from a particular position or place,,,,
ANNOY,I do not get annoyed by small issues and focus on the goal,FALSE,To make someone a little angry; irritate,,,,
REPREHENSIBLE,His conduct was reprehensible and he was suspended,FALSE,Deserving censure or condemnation,,,,
BREAKDOWN,Good maintenance prevents a breakdown of equipment,FALSE,A failure of a relationship or system,,,,
GRIMACE,I can bear pain without a grimace on my face,FALSE,An ugly twisted expression on a person's face,,,,
PREROGATIVE,It is the prerogative of the president to pardon a criminal,FALSE,A right or privilege exclusive to a particular individual or class,,,,
INEPT,I am skilled at my work and not inept,FALSE,Having or showing no skill; clumsy,,,,
SPOT,I can spot a problem early and take corrective action,FALSE,To see notice or recognize someone or something that is difficult to detect,,,,
PALPITATE,My heart started to palpitate with excitement,FALSE,To beat rapidly,or irregularly,,,
INSULT,I do not get affected by insults and maintain my composure,FALSE,To speak to or treat with disrespect or scornful abuse,,,,
MUTATE,The virus can mutate and become more dangerous,FALSE,To change in form or nature,,,,
EXTRANEOUS,I focus on the core issues and ignore extraneous details,FALSE,Irrelevant or unrelated to the subject being dealt with,,,,
PRACTICE,Regular practice is the key to mastering any skill,FALSE,The actual application or use of an idea belief or method,,,,
ROT,A single rotten apple can spoil the whole barrel,FALSE,To decompose through the action of bacteria and fungi,,,,
SAD,I find reasons to be cheerful even on a sad day,FALSE,Feeling or showing sorrow; unhappy,,,,
